Name,Mileage,Year,Gearbox,Transmission,Horse Power,Energie,Location,Price,Date
Mercedes-Benz Classe CAMG,34 800 km,2021,Automatique,Propulsion,10 cv,Essence,N/A,N/A,N/A
Lancia Delta,193 000 km,2010,Manuelle,Traction,7 cv,Essence,N/A,N/A,N/A
Porsche Panamera,121 000 km,2013,Automatique,Intégrale,20 cv,Essence,N/A,N/A,N/A
Renault MeganeDynamique,74 000 km,2019,Manuelle,Traction,7 cv,Essence,N/A,N/A,N/A
Audi A4Design Plus,186 000 km,2018,Automatique,Traction,8 cv,Essence,N/A,N/A,N/A
Volkswagen Golf 7,133 000 km,2019,Automatique,Traction,6 cv,Essence,N/A,N/A,N/A
Land Rover Range Rover EvoqueR-Dynamic,150 000 km,2016,Automatique,Propulsion,10 cv,Diesel,N/A,N/A,N/A
Isuzu D-Max Double CabineLS,95 000 km,2021,Automatique,Propulsion,6 cv,Diesel,N/A,N/A,N/A
Mercedes-Benz Classe EAMG,95 000 km,2018,Automatique,Traction,9 cv,Essence,N/A,N/A,N/A
Land Rover Range Rover EvoqueR-Dynamic,90 000 km,2019,Automatique,Propulsion,8 cv,Diesel,N/A,N/A,N/A
Mercedes-Benz Classe AAMG,10 000 km,2023,Automatique,Traction,8 cv,Essence,N/A,N/A,N/A
BMW Série 5Business Line Plus,65 000 km,2022,Automatique,Traction,10 cv,Essence,N/A,N/A,N/A
Porsche Cayenne,195 000 km,2012,Automatique,Propulsion,21 cv,Essence,N/A,N/A,N/A
Mercedes-Benz GLE CoupéAMG,65 000 km,2021,Automatique,Traction,11 cv,Hybride,N/A,N/A,N/A
